,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
101,Someday When I Stop Loving You,Carrie Underwood,0FvYbfE2siVMEoXM8j0p5u,contemporary country,2009,43,0.545,0.401,0,-5.606,1,0.0275,0.745,1.74e-06,0.107,0.197,127.79,242573,4
102,Panhandle Poorboy,Kevin Fowler,1eQhubjCQnR7xM9dl4SgUa,country,2014-03-03,23,0.432,0.729,7,-5.752,1,0.0357,0.151,0.000212,0.0805,0.492,156.01,200187,4
103,Bye Bye Bye,*NSYNC,4r8lRYnoOGdEi6YyI5OC1o,boy band,2000-03-21,67,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,200560,4
104,Ice Cream (feat. Brotha Lynch Hung),Mac Dre,132ZlY76vlOr7DecppKgHB,cali rap,2008-02-05,0,0.428,0.657,6,-8.762,0,0.293,0.0572,0.0,0.286,0.459,87.836,154613,4
105,Wildfire - Acoustic Sessions,Seafret,00eQhZv2u4X3qNTKAPbyGU,folk-pop,2016-08-05,32,0.645,0.513,6,-7.705,1,0.0319,0.747,0.0,0.123,0.327,132.036,219067,4
106,ScheiBe,Lady Gaga,7DXGKFjM7GNkJd32oXstGY,dance pop,2011-05-23,51,0.739,0.97,5,-4.885,0,0.118,0.0049,1.06e-06,0.273,0.519,131.003,225467,4
107,Heroin,Jez Dior,7JxtHwJgzJJ44xV3TJtY7x,deep underground hip hop,2014-11-18,43,0.662,0.656,4,-6.244,1,0.0634,0.00429,0.0,0.0985,0.146,89.998,259791,4
108,Slow Down (feat. Tony Tillman & Tedashii),Derek Minor,64sdaYIhSRDL4pvBtzXFQF,christian hip hop,2015-01-27,0,0.666,0.816,11,-5.041,1,0.121,0.064,0.0,0.409,0.23,145.108,228907,4
109,Mente Degenerada,El Bebeto,1hH0bFECoTiIelmWGnbu4a,banda,2016-08-19,21,0.71,0.692,10,-3.933,1,0.0496,0.653,0.0,0.151,0.975,120.146,156027,3
110,The Reach,Aer,56ekE5QORmAOJyW3oMRpdF,indie pop rap,2011-05-09,18,0.659,0.897,9,-4.973,0,0.058,0.469,8.55e-05,0.249,0.682,165.024,143413,4
111,I Bet My Life - Lost Kings Remix,Imagine Dragons,3byeoYtEiTC3wbrcslxYn3,modern rock,2015-01-26,35,0.539,0.832,1,-7.037,1,0.0717,0.0679,0.0,0.16,0.285,119.986,238733,4
112,Hesitate,Zanski,3kTH4zIpKYtjSsMFTKEXOT,vapor soul,2015-09-08,0,0.695,0.798,9,-6.856,1,0.0424,0.104,0.152,0.107,0.605,99.988,261290,4
113,Close To You,Dreezy,2gxMB9jJ8LiXoaxTP6iZia,chicago rap,2016-07-22,54,0.444,0.515,10,-7.249,0,0.184,0.0934,3.1e-06,0.122,0.229,89.062,289293,5
114,Dust,Eli Young Band,5J6IvCB3hhdBVFfKI75fjp,contemporary country,2013-01-01,48,0.586,0.925,0,-3.744,1,0.039,0.0262,0.00327,0.138,0.495,130.958,198933,4
115,1983...(A Merman I Should Turn to Be),Jimi Hendrix,5uDpwSGjljhIgDB1ZYdp9c,acid rock,1968-10-25,44,0.357,0.682,1,-9.207,1,0.106,0.159,0.00609,0.357,0.229,138.258,819627,4
116,"Get Outta My Dreams, Get Into My Car",Billy Ocean,0a96OuD1IFkThrVHk5oXsK,disco,2016-04-29,0,0.666,0.917,4,-6.103,1,0.0402,0.0747,6.14e-06,0.335,0.906,117.16,284373,4
117,Relaxing Study,Studying Music,7qUS9HCkeepWtzynIKjyJl,sleep,2012-02-16,11,0.383,0.108,3,-19.806,1,0.0496,0.94,0.791,0.103,0.0745,119.343,240197,4
118,Goodbye,Hootie & The Blowfish,6DCHJYgCTzQyyVfxjPIjM6,mellow gold,1994-07-01,33,0.256,0.352,7,-10.334,1,0.0322,0.889,0.00023,0.137,0.181,203.534,245667,5
119,"Emaline - Live at XM Satellite Radio, Washington, DC - June 2002",Ben Folds,0ToTP6i9GqpBIhn6M0xfmx,permanent wave,2002-10-08,26,0.503,0.58,2,-10.239,1,0.155,0.831,0.0,0.684,0.507,131.887,228640,4
