,name,artist,id,genre,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
120,No Juice,Boosie Badazz,3W9rVhmcMHBZ9CJysUdQPs,baton rouge rap,2015-05-26,52,0.721,0.457,2,-7.1,1,0.265,0.163,0.0,0.0977,0.231,127.983,212320,4
121,Po' encima (feat. Bryant Myers),Arcangel,7sWdGtYvzlzuQRAoZ7fGeO,latin,2017-04-07,63,0.789,0.77,6,-6.431,0,0.274,0.272,0.0,0.64,0.923,176.042,211409,4
122,Matches,Sammy Kershaw,5MhIorwIpyw1yFfObLFDUd,country,1997-01-01,19,0.487,0.376,2,-11.059,1,0.0284,0.214,0.0,0.189,0.143,71.921,234133,4
123,Simply Irresistible,Robert Palmer,7mmhMfqs3knRMMlvnMPTHn,album rock,1988,55,0.645,0.933,9,-6.955,1,0.0532,0.129,1.03e-05,0.0443,0.695,142.615,254293,4
124,Hold Tight,Justin Bieber,0na8x6EOqjHsGABdB90TIC,canadian pop,2014-05-13,45,0.456,0.608,10,-5.815,0,0.328,0.287,0.0,0.101,0.491,58.875,254213,4
125,Irresistible,Fall Out Boy,4urmOSZcGQVcGz3rpMzy3y,emo,2015-01-16,0,0.488,0.935,2,-3.08,1,0.116,0.0818,0.0,0.256,0.448,164.971,206507,4
126,Love Don't Change,Jeremih,6PmjWl0phNxc0R5OwkDdiZ,chicago rap,2010-01-01,67,0.539,0.424,11,-9.361,1,0.0406,0.317,0.0,0.108,0.17,118.071,256867,4
127,My Own Hell,Five Finger Death Punch,5r88wg6oqQGhzykOAkq9zH,alternative metal,2009-01-01,0,0.467,0.901,4,-4.175,0,0.0584,5.44e-06,9.86e-05,0.107,0.328,170.007,215213,4
128,Some Type of Way,Rich Homie Quan,3fzOYwddDY9DTtBnn3EMcm,atl hip hop,2013-07-11,0,0.786,0.67,1,-5.577,0,0.334,0.214,0.0,0.0696,0.832,134.913,230760,4
129,Holy Ghost,Jeezy,7aYUWsJo8hF4u3wve4jUE0,atl hip hop,2014-09-02,36,0.629,0.728,8,-5.143,1,0.187,0.0236,0.0,0.112,0.274,157.914,281853,4
130,Who That Be (Josh Pan & West1ne Remix),Rich Brian,527KhZRk72NqSOduoJpXV6,indonesian hip hop,2016-12-06,32,0.691,0.84,11,-4.579,1,0.289,0.216,7.1e-05,0.102,0.476,145.998,172962,4
131,Cómo Le Haces,La Arrolladora Banda El Limón De Rene Camacho,5o3yKRY6J3acmQJU00QGoB,banda,2016-05-06,31,0.616,0.505,5,-8.232,1,0.027,0.644,0.000182,0.14,0.395,135.985,182853,4
132,Lejos de Aqui,Farruko,6KpCdSvJhnW6GkPIhjhste,latin,2015-03-03,0,0.729,0.877,2,-4.376,1,0.0717,0.144,0.0,0.364,0.805,92.963,175673,4
133,Cascades,Metric,1pBg92BG0627JeeVY6eGym,alternative dance,2015-09-18,23,0.68,0.778,0,-7.022,0,0.0376,0.0738,0.827,0.088,0.593,105.996,324427,4
134,No Man's Land,Zack Hemsey,1OgrFVrchFVqnA0EjZZg1Q,epicore,2016-11-04,34,0.112,0.338,2,-10.014,0,0.0367,0.773,0.848,0.059,0.0915,83.644,420310,5
135,Rabiosa,Shakira,0UGJsRE9T0r6sIMR3mQzUW,colombian pop,2010-10-18,0,0.834,0.823,0,-4.918,1,0.114,0.062,0.0,0.185,0.763,133.039,170600,4
136,Hurricane,B.A.P,5r3qRqX7exiWRN2mClxtVT,k-pop,2016-04-12,0,0.797,0.914,4,-4.139,0,0.147,0.00205,1.57e-06,0.136,0.523,127.985,215653,4
137,Moving Too Fast,Jason Robert Brown,0yOParTaMhh1ZYoeSVeLSK,broadway,2002,0,0.613,0.562,5,-8.55,1,0.0319,0.75,0.0,0.299,0.541,102.159,286000,4
138,Mighty Cross,Elevation Worship,2qFxitJohZtPd3QIPumFH0,ccm,2017-03-17,38,0.428,0.461,7,-6.428,1,0.0301,0.00773,0.0,0.613,0.153,144.969,376253,4
139,I Miss My Mary,Hal Ketchum,3nKHQMg6WYmPX5ZTihZ2Tm,country,1991-04-29,28,0.534,0.415,9,-7.955,1,0.0311,0.752,0.0,0.1,0.644,154.042,193400,4
140,I Thought The Future Would Be Cooler,YACHT,4yYxzEEW9uZwNfpKx3cNSH,ai,2015-10-15,37,0.802,0.677,5,-6.199,0,0.0368,0.00953,0.00312,0.0834,0.933,109.986,206843,4
141,Lose It,MadeinTYO,3RJiZP0Y4WHArqUe2e1cgZ,atl hip hop,2016-08-22,28,0.777,0.666,2,-4.995,1,0.375,0.211,0.0,0.749,0.313,152.962,192787,4
142,Green,Blake Shelton,20RvvLVoFKHAmlNzenGhX4,contemporary country,2008-11-10,16,0.498,0.875,4,-4.23,1,0.0853,0.0496,0.0,0.18,0.649,173.892,180227,4
143,With Or Without You - Remastered,U2,3yvlcIteooc31cPjyWPTw1,irish rock,1987-03-03,0,0.541,0.437,2,-11.874,1,0.0288,0.000196,0.318,0.148,0.127,110.162,295516,4
144,Like I'm on Fire - Kartell Remix,Karma Kid,3ipwa1I4I5IZ1RKrxsxBhl,portland hip hop,2014-01-27,40,0.831,0.391,5,-11.88,0,0.0562,0.0491,0.622,0.0604,0.24,123.001,308293,4
145,Size Matters (Someday),Joe Nichols,5mu4ibyXLz3JDA7p5a0kAf,arkansas country,2005-01-01,29,0.547,0.756,5,-5.385,1,0.0437,0.0173,1.81e-06,0.196,0.631,174.882,171907,4
146,Business as Usual,Haystak,6enJLcWFXZMRv4hIJtsEXq,country rap,2013-11-19,0,0.701,0.906,5,-5.029,0,0.26,0.154,0.0,0.354,0.829,139.995,205613,4
147,Torn,Hands Like Houses,5fQLhGd3Wxo8DDiYc24H1n,australian metalcore,2014-01-01,0,0.518,0.77,4,-5.351,1,0.0302,0.0016,0.0,0.186,0.346,96.49,225920,4
148,I Don't F**k With You,Trinix,6iWpG6qKCNHXuWzQi6lqlq,bass trap,2015-03-10,0,0.785,0.666,1,-5.993,0,0.0853,0.25,0.0,0.14,0.683,92.031,140870,4
149,Gucci Comin' Home,BIA,4r6AFRv8b4KurDJvm7BZ5N,escape room,2016-05-13,31,0.773,0.566,2,-6.966,0,0.0573,0.26,0.0,0.0919,0.315,133.509,179504,4
150,Where I Stood,Missy Higgins,1SyJOVMjGCY8m9IfD8YErg,australian pop,2007,45,0.55,0.422,9,-9.233,1,0.0283,0.65,0.000475,0.0856,0.33,72.001,259120,4
151,Because of U,Monsta X,0KCKvKmHFoIbVqrETayBan,k-pop,2016-05-18,38,0.859,0.77,8,-5.219,0,0.175,0.394,0.0,0.0553,0.93,112.027,183870,4
152,Love Letters,Dirty Heads,0uNQegBj46nOOav7afDsTI,reggae fusion,2012-07-13,0,0.72,0.41,8,-7.251,1,0.0836,0.326,3.31e-05,0.324,0.841,172.092,190960,4
153,Brand New Day,Kodaline,4GTFmhloHROeX6C0FvjLVI,irish pop,2012,0,0.57,0.896,3,-3.825,1,0.0326,0.0135,0.000135,0.0823,0.598,121.016,208387,4
154,Scrollin (feat. Hopsin),Futuristic,2Ki7cuOuvlA9LozOPdWtV7,deep underground hip hop,2016-08-26,32,0.815,0.753,7,-4.021,1,0.304,0.332,0.0,0.153,0.58,138.056,238832,4
155,Historia Entre Tus Dedos,Mickey Taveras,6Gcw665JqvGcDwz3ZWnQuM,latin,2001,0,0.757,0.76,0,-6.543,1,0.0361,0.473,6.68e-05,0.233,0.816,96.169,279000,4
156,Flashed Junk Mind - Live From Spotify Berlin / 2014,Milky Chance,7uZn96UmxpT03H9kRfQTnU,german pop,2014-09-26,0,0.728,0.659,11,-12.919,1,0.059,0.563,0.000504,0.687,0.821,118.015,267776,4
157,You Can Run (Billy Kidman),WWE,35Z9pWr3QHiN6N3Tvbv7JL,wrestling,2004-11-16,25,0.766,0.762,3,-2.97,0,0.0444,0.113,0.0,0.126,0.662,88.228,105160,4
158,Save Your Breath,Josh Dorr,4wmawXcJQNzfKCSH8Fo7tf,country pop,2014-05-06,24,0.593,0.79,0,-4.916,1,0.0257,0.0132,0.0,0.288,0.132,105.001,253680,4
159,Obsession - Live,Jesus Culture,1OJPJGPQUMLY2uA83aeYuz,anthem worship,2009-01-01,26,0.431,0.494,2,-8.156,1,0.0313,0.00975,0.000294,0.706,0.0996,139.959,505920,4
160,Cuatro Meses,La Arrolladora Banda El Limón De Rene Camacho,5nFbM5iA2wGdFjzAYoOflz,banda,2003-10-06,29,0.645,0.54,10,-6.745,1,0.0356,0.656,0.000333,0.0722,0.975,129.596,169053,4
161,Then The Morning Comes,Smash Mouth,50MfV7a1pnOEcf2t9kobxW,alternative rock,1999-06-08,48,0.729,0.881,5,-5.024,0,0.0283,0.0231,0.0,0.0872,0.963,118.58,182267,4
162,Champagne & Sunshine (Ellusive Remix),PLVTINUM,1H47LILEj9nGb74EPcZKWw,alt z,2017-03-31,13,0.568,0.79,8,-4.411,1,0.0791,0.174,0.0,0.269,0.566,109.747,184000,4
163,Dallas (feat. Playboi Carti),Joey Fatts,0hGi5kBA3DB4uuq9Aw1BjM,underground hip hop,2016-03-03,31,0.901,0.425,3,-8.282,0,0.455,0.503,0.0,0.201,0.814,140.0,182857,4
164,Christmas Offering,Casting Crowns,5fJszr03uVM8V6P3Ek3gce,ccm,2008-10-07,34,0.502,0.561,5,-7.296,1,0.0253,0.329,0.0,0.122,0.122,138.039,314480,4
165,Souvlaki Space Station,Slowdive,4VSH2Mz6pJqJU51ba1zoMk,alternative rock,1993,0,0.387,0.581,4,-8.842,0,0.03,0.00225,0.78,0.134,0.464,137.962,359067,4
166,Surrender,Ball Park Music,6tlxrwkdeUdVClN2hKB6DU,australian garage punk,2012,0,0.459,0.68,1,-8.025,1,0.0519,0.00266,0.000105,0.0826,0.423,147.719,181440,4
167,30/30-150,Stone Sour,70tDfuK1tlZQfyi0m8BZo0,alternative metal,2006,52,0.512,0.919,4,-4.581,1,0.0894,4.03e-05,0.000629,0.0899,0.602,163.035,258067,4
168,"Good Morning Baltimore (""Hairspray"")",Nikki Blonsky,6hEkG6ndeFqzSMa6C4yza4,hollywood,2007-01-01,0,0.628,0.827,4,-4.367,1,0.0623,0.183,0.0,0.2,0.757,133.059,234093,4
169,New Love,Maroon 5,6dfGLBg7wrGKCKIkhgVzpX,pop,2015-05-18,34,0.63,0.886,5,-5.216,0,0.076,0.0107,0.00011,0.214,0.824,165.012,196547,4
170,Gorgeous,mansionz,75Q69chmd8CEZbVsA4CDMm,pop rap,2017-03-24,67,0.833,0.545,2,-4.004,0,0.462,0.352,0.0,0.0915,0.541,77.035,148494,4
171,Hades Pleads,Parker Millsap,2Yf3wwS48rkAoBRXNJ34kz,deep new americana,2016-03-25,49,0.568,0.632,9,-6.958,1,0.161,0.0245,0.000246,0.401,0.711,164.823,156107,4
172,Broken Cash Machine,Modern Baseball,475a6fDXFeJds9swY7P7Rd,alternative emo,2014-02-11,0,0.419,0.874,1,-5.138,1,0.0876,0.00329,3.09e-05,0.101,0.625,175.059,109633,4
173,I Did It Again,Luke Bryan,6e8qN87ByKix1YKLAZivpG,contemporary country,2009-01-01,30,0.551,0.61,4,-5.573,1,0.0276,0.0058,6.41e-06,0.172,0.462,140.157,289120,3
174,You're The One,Vorwerk,6wRXzNyQvkBb0kTaNXyQlC,jumpstyle,2017-01-27,0,0.359,0.819,8,-3.718,0,0.0723,0.184,0.0,0.18,0.451,145.005,193655,4
175,God Is Moving,Hillsong UNITED,6z5CQrUCXdLWW2sKT5boK4,ccm,2010-04-06,9,0.333,0.916,0,-7.759,1,0.114,0.00243,0.00336,0.368,0.137,139.282,434560,4
176,Reckless And Relentless - Document One Remix,Asking Alexandria,20UgLNv1AtC4fnNtUPRpMI,metalcore,2011-11-21,26,0.421,0.869,4,-4.318,0,0.0739,0.000177,0.00039,0.841,0.327,140.028,318000,4
177,Mute,Youth Lagoon,7yOuXFe5Z8ywavuRNa5nG2,chillwave,2013,30,0.201,0.78,8,-6.507,1,0.0387,0.000115,0.802,0.615,0.386,142.158,358560,4
178,Wither,Tech N9ne,70bCuMmZHypmGwUdCQ3QDf,hip hop,2015-05-04,47,0.67,0.86,1,-3.183,1,0.0493,0.201,0.0,0.097,0.116,130.016,283533,4
179,Side Show: Feelings You've Got to Hide - Voice,Henry Krieger,7dWhjrgxGx95HhD3zvVw5p,broadway,1997-12-09,8,0.399,0.286,7,-13.203,1,0.0568,0.863,0.0,0.0918,0.259,116.998,209400,4
180,After Tonight,Justin Nozuka,5sbs0qh9EIOsAVa3DmFFd4,acoustic pop,2007-07-24,28,0.6,0.427,0,-8.252,0,0.049,0.673,0.0,0.123,0.583,98.62,240440,4
181,Mixer,Nap Eyes,5Gda2dF6ew4ORmTL4xaxZT,freak folk,2016-02-05,13,0.76,0.371,7,-10.199,1,0.0339,0.354,4.35e-05,0.116,0.392,107.759,276072,4
182,Older and Taller,Regina Spektor,44lGysG4BW1P7ixarRhYRd,indie pop,2016-09-30,37,0.438,0.464,1,-7.831,1,0.0304,0.284,0.0035,0.221,0.321,119.601,236493,4
183,Heroes (we could be) - Extended Mix,Alesso,42WORRWNIJiAoXAv6fTOqn,dance pop,2014-12-08,0,0.749,0.656,5,-5.858,1,0.0569,0.00936,0.000315,0.0563,0.119,126.002,339080,4
184,Furr,Blitzen Trapper,6n1zT8W5EaIYvWIT2DyROL,deep new americana,2008-09-23,0,0.571,0.518,2,-9.57,1,0.0523,0.475,0.0,0.131,0.495,91.725,247507,4
185,Tell Me,Groove Theory,2lp8xjq0WTm3HZKHuDEweg,neo soul,1995-07-25,65,0.8,0.362,6,-10.849,0,0.0634,0.035,3.99e-06,0.0667,0.888,93.059,236067,4
186,Say It - Stwo Remix,Flume,7t7oyCzymPhqPI7nHOVYnr,australian dance,2017-04-07,0,0.543,0.497,3,-6.596,0,0.0624,0.468,2.5e-05,0.0984,0.299,139.307,266637,4
187,Fake Tales Of San Francisco,Arctic Monkeys,7BuzJmV2h6eBbSDdRaDY7C,garage rock,2006-01-29,63,0.454,0.778,9,-4.225,1,0.0449,0.00998,0.0,0.0427,0.704,127.158,177947,4
188,Portable Television,Death Cab for Cutie,34BKaSa9TZrMIM7S9rqE4F,alternative rock,2011-05-27,28,0.557,0.891,7,-7.894,1,0.0324,0.00173,0.202,0.316,0.603,109.978,172573,4
189,Mickey,Toni Basil,4Gnl12vioGd6lgIjeYcMCl,new wave pop,1997,58,0.674,0.913,4,-5.898,1,0.0521,0.124,1.06e-05,0.139,0.968,148.891,253200,4
190,Cool,Gwen Stefani,1oPHQirLVcgj85NWdiyuJD,dance pop,2004-10-27,0,0.707,0.726,2,-3.515,1,0.0279,0.0315,0.000221,0.359,0.809,112.026,189280,4
191,Back Again (feat. Waka Flocka Flame),Flosstradamus,1tVQfnifjrgqHOR12Mq9tL,bass trap,2017-03-17,7,0.577,0.97,10,-3.207,0,0.053,0.00184,0.0257,0.235,0.167,145.001,238525,4
192,An Encounter,The 1975,0WJYEw5A1rT7SU6WTxPM1e,modern alternative rock,2013-01-01,39,0.386,0.433,4,-16.452,1,0.0399,0.89,0.977,0.0887,0.055,99.226,74750,4
193,Y No Hago Mas Na',El Gran Combo De Puerto Rico,4fHYtAHpAmsFDq7kTLzgh5,salsa,1983,55,0.812,0.679,2,-6.008,0,0.0559,0.68,0.00283,0.314,0.852,90.474,301373,4
194,Furious,Jeremy Riddle,43aEdyGKagb6NsVztpSgHq,anthem worship,2011-09-20,0,0.429,0.905,1,-6.324,1,0.0759,0.000215,0.0,0.297,0.29,108.082,237719,4
195,Fake Smiles,Phora,55SBnUF28p7VolE0P2PiYb,deep underground hip hop,2016-10-11,0,0.461,0.612,8,-8.645,1,0.522,0.15,0.0,0.086,0.0374,168.504,207201,3
196,Girlfriend,Kap G,0wJIFdZTLwl4ZQ6RNLOxQN,atl hip hop,2016-03-12,48,0.876,0.658,6,-3.119,0,0.106,0.12,0.0,0.107,0.407,159.986,198716,4
197,Chemical Sweat,Elliot Root,3pxXVNkeKzf0veouyscrHA,indie poptimism,2015-05-18,33,0.639,0.798,0,-6.621,1,0.0314,0.108,0.234,0.258,0.658,129.978,219320,4
198,Can't Control The Kids,Kerli,3WrZrXkxgeuuk6N4ZNWMOE,candy pop,2013-01-01,20,0.632,0.973,2,-2.914,1,0.0672,0.0424,0.17,0.0591,0.331,128.043,188240,4
199,Crazy,Simple Plan,51SHHWOEjxJrEp07SNxow6,canadian pop punk,2004-10-25,40,0.378,0.846,8,-3.187,1,0.0417,0.00147,0.0,0.0905,0.387,180.27,216560,4
200,Love Gun,KISS,7ChRGXHb05yIp1Sc43d37Z,album rock,1977-06-30,0,0.409,0.863,3,-6.23,0,0.0363,0.0316,0.0266,0.254,0.665,147.234,198560,4
201,Don't Give Me No Bammer Weed,RBL Posse,4rDmi1LPRaHm7ak0dcQYKo,gangster rap,1992-01-07,48,0.813,0.793,1,-9.727,0,0.194,0.0316,0.0,0.364,0.724,113.629,368533,4
202,It's Quiet Uptown,Kelly Clarkson,7JLQ6ZawBiDNVYaAR0bKVi,dance pop,2016-11-04,44,0.736,0.452,10,-8.802,1,0.0377,0.453,0.0,0.17,0.358,128.029,277887,4
203,THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),"Tyler, The Creator",629TRAVD61y1ZVNl9EOfEE,hip hop,2015-04-13,50,0.63,0.842,1,-5.636,0,0.316,0.000967,0.0,0.362,0.634,84.952,191869,4
204,Portuguese Love,Teena Marie,0rEqoKxL9HGRRvtsQygeZn,classic soul,1981-05-14,44,0.466,0.573,9,-12.304,0,0.0793,0.142,0.0,0.0871,0.671,140.643,469173,4
205,When Did You Stop Loving Me,George Strait,2CI3l8Y6H78e86YLRDMtQ7,contemporary country,1992-01-01,48,0.608,0.403,2,-10.238,1,0.0244,0.352,0.000348,0.0969,0.43,85.301,170200,4
206,Fork In The Road,The Infamous Stringdusters,67Dgg38YubvCXdUAsBFSXQ,bluegrass,2011-10-11,11,0.501,0.866,2,-5.088,1,0.0351,0.138,0.000423,0.818,0.62,117.938,254542,4
207,Holding On,The War On Drugs,2h5CXy8Pme1lTY3CUAEI1i,indie rock,2017-08-25,58,0.444,0.939,6,-5.027,1,0.0403,0.000611,0.00986,0.0453,0.686,150.084,350893,4
208,Calm Like a Bomb,Rage Against The Machine,1hR0fIFK2qRG3f3RF70pb7,alternative metal,1999-11-02,55,0.315,0.97,7,-5.424,1,0.483,0.0234,2.03e-06,0.122,0.37,149.749,298893,4
209,Eclipse,Emilio Navaira,2jQbfFqRRuRTkR6T0CAYI6,regional mexican,1993-01-01,32,0.776,0.611,2,-7.174,1,0.0507,0.231,0.0,0.0467,0.947,85.282,212969,4
210,Living in the Shadows,Billy Talent,3jFRM3PHO59fVZHbco9xOk,alternative metal,2003-08-26,42,0.505,0.981,5,-3.126,1,0.112,0.000108,6.23e-06,0.334,0.445,99.956,195560,4
211,Joseph Smith's First Prayer,InsideOut A Cappella,6cQYKpwFHYrPZZfi7nAxuw,a cappella,2000-01-01,19,0.427,0.144,7,-12.103,1,0.0303,0.885,0.0,0.0695,0.438,101.23,172493,3
212,Gum,Moose Blood,1MCnWI92kb8QW3O9sVGPhr,alternative emo,2014-10-06,0,0.418,0.667,4,-6.196,1,0.0319,0.00848,0.0,0.281,0.284,165.124,181387,4
213,House On Fire,Sia,1fiKURoz6s2OXZhMkhF488,australian dance,2016-01-29,38,0.523,0.782,1,-6.01,0,0.054,0.000425,0.106,0.135,0.247,179.967,241120,4
214,Sitting Home,Total,6sSRhTPxBomvVYAyLpkLa1,hip hop,1998-10-27,38,0.552,0.672,10,-9.772,0,0.0888,0.371,0.0159,0.0671,0.63,126.791,254859,5
215,4x4 (feat. Nelly),Miley Cyrus,7pu0a2lDSnwQS0ERqAtCnS,dance pop,2013-10-04,50,0.922,0.797,4,-6.567,0,0.0558,0.0504,0.0,0.134,0.922,119.955,191907,4
216,Speechless,Michael Jackson,7doA7iFXq9tPxiTmJ4qyDr,pop,2001-01-01,0,0.459,0.37,7,-8.041,0,0.0471,0.565,0.0,0.234,0.118,133.907,198373,4
217,Down the Road,Kenny Chesney,4HszwNtiREcpagpVLcaK1H,contemporary country,2008,0,0.629,0.554,4,-9.449,1,0.0389,0.404,0.0,0.104,0.46,77.91,180813,4
218,Blessed (feat. Kendrick Lamar),ScHoolboy Q,7y1GB13kJnitvpFbJct3hn,gangster rap,2012-01-14,0,0.515,0.681,10,-8.025,1,0.37,0.683,0.0,0.0831,0.343,93.452,303287,1
219,The South's Gonna Do It Again,The Charlie Daniels Band,7HRqpMkcCVVhmKme8bScvl,classic rock,1973,52,0.45,0.712,9,-9.69,1,0.0563,0.521,1.57e-06,0.189,0.848,164.376,237427,4
220,True Colors - Film Version,Anna Kendrick,1JY9hsqLWZ3JB3K39Ve1xF,hollywood,2016-09-23,60,0.377,0.183,4,-12.679,1,0.037,0.81,8.56e-06,0.121,0.369,71.276,180573,4
221,Blade Runner Blues,Vangelis,575blCgesVtCu0HEYaIcas,cyberpunk,1994-06-06,53,0.182,0.0784,2,-26.043,1,0.0389,0.478,0.00263,0.137,0.0817,106.712,534400,4
222,OLD HABITS DIE HARD,Allie X,5qEBcW3yTpdLscWkZNoO6s,alt z,2016-02-19,13,0.577,0.813,9,-2.829,1,0.062,0.0118,0.000116,0.27,0.783,173.936,221280,4
223,Echo,VÉRITÉ,1sKUaiw4OM5Xv4O8FyIZlT,alt z,2014-10-20,27,0.366,0.77,9,-5.032,1,0.307,0.407,0.0,0.773,0.662,78.537,158112,4
224,Perfect Strangers,Jonas Blue,5bZtRlMBU76vHuDOb1GM5u,dance pop,2017-07-14,42,0.739,0.833,1,-5.012,1,0.0463,0.35,0.0,0.266,0.699,117.99,195313,4
225,Dive In,kwassa,6b9z7zuD6yL2GYoSxzsFXS,hopebeat,2017-03-03,0,0.708,0.78,8,-8.377,1,0.0585,0.248,0.0101,0.107,0.619,104.973,200637,4
226,Zanzibar,Billy Joel,70Znjq5VPKFrwlB7O26SWT,classic rock,1978-10-13,64,0.589,0.46,9,-14.54,0,0.0511,0.271,4.95e-05,0.224,0.705,148.172,310760,4
227,i,Kendrick Lamar,3ODXRUPL44f04cCacwiCLC,conscious hip hop,2015-03-16,60,0.541,0.809,8,-4.286,1,0.324,0.708,0.0,0.72,0.753,120.094,336013,4
228,Moments,Twiddle,2tnnr4chGoL7u0wh1N4E4K,funk rock,2017-04-28,0,0.577,0.868,7,-5.962,1,0.0507,0.245,0.0,0.13,0.915,166.359,241480,4
229,"Crush - Live at Radio City Music Hall, New York, NY - April 2007",Dave Matthews,4RQ5wJIahrALFZayINojJF,pop rock,2007-08-14,36,0.363,0.787,0,-5.701,1,0.0558,0.535,0.0,0.731,0.477,93.641,474627,4
230,Sober,Lorde,2mNbgyi0gori4b1rFSPgIb,art pop,2017-06-16,0,0.795,0.488,6,-10.349,1,0.192,0.2,0.00364,0.133,0.528,107.734,197236,4
231,Mockingbird,Rob Thomas,4L9J2or96xvWhQwWw09fHO,neo mellow,2009-06-22,44,0.571,0.77,0,-5.498,1,0.0314,0.0534,1.02e-06,0.129,0.613,141.996,240320,4
232,Another Sad Love Song,Toni Braxton,15R3vgLAu2XOOYW5i5LF3K,dance pop,1993-10-20,0,0.78,0.71,2,-7.429,1,0.0479,0.0143,3.49e-05,0.0366,0.858,96.067,301560,4
233,Chaser,Carrie Underwood,76vVrWGgSYz7r0rYEwU807,contemporary country,2015-10-23,40,0.493,0.78,0,-4.127,1,0.0485,0.06,0.000248,0.192,0.19,119.996,262720,4
234,Let It Go,Madilyn Bailey,3609HFH16Kzo3JiJzrRSEY,viral pop,2016-02-29,45,0.587,0.37,3,-5.821,1,0.0291,0.957,0.0,0.146,0.334,145.977,232227,4
235,Move Your Body (Future House),Tchami,5fFEgmLAbNG75zKPn3hXOO,bass house,2015-02-10,34,0.818,0.87,9,-5.162,1,0.0493,0.00424,0.196,0.0429,0.741,123.999,219429,4
236,Stay A Little Longer - Demo,Brothers Osborne,6WuDyzpi8uX8atZvIQGVbT,contemporary country,2014-09-09,38,0.628,0.738,6,-5.942,1,0.0253,0.0882,1.17e-05,0.044,0.423,97.013,255667,4
237,Mighty To Save,Seventh Day Slumber,0Hw9aocqrEwTepprJrmE3q,ccm,2009-01-01,25,0.455,0.693,9,-6.676,1,0.0307,0.00305,3.22e-06,0.179,0.485,85.0,241080,4
238,Sensual Seduction - Album Version (Edited) FINAL,Snoop Dogg,17DBMZGzjoQZQyhPpeGCQK,g funk,2008-01-01,39,0.758,0.824,11,-3.782,1,0.0725,0.00328,3.79e-05,0.0685,0.498,120.199,240373,4
239,Girl - Bonus Track,Grouplove,2oFdVKEARkPMeufsEPawbR,indie pop,2013-09-17,22,0.402,0.64,0,-7.926,1,0.0327,0.48,0.143,0.0741,0.181,71.982,257846,4
240,Still Talkin',Eazy-E,4wiNvPbYWmCL7gDbmo2SyL,g funk,1988-09-13,41,0.724,0.804,7,-4.565,1,0.379,0.0846,0.0,0.674,0.781,90.049,227867,4
241,Dreamer - Acoustic,I The Mighty,3ioGcJP7jE8z2EcqiqDOwf,bay area indie,2014-07-15,36,0.499,0.744,6,-7.538,0,0.0313,0.199,2.82e-06,0.0588,0.528,162.014,247819,4
242,"You Need Me, I Don't Need You",Ed Sheeran,6x44NmhdsmgRzG07kzqOO6,pop,2014-06-23,44,0.689,0.563,1,-5.539,1,0.275,0.692,0.0,0.0579,0.819,129.517,245040,4
243,16 Speakers,Chuck Inglish,7HtWqtVRWjehkXqr6VWkLZ,underground hip hop,2015-12-18,6,0.788,0.57,9,-7.915,1,0.254,0.445,7.67e-06,0.149,0.377,158.085,259758,4
244,I Will Possess Your Heart,Death Cab for Cutie,77vYwoC7e3pVoPq8BA9CuL,alternative rock,2008-04-29,55,0.605,0.619,9,-8.971,0,0.0261,0.423,0.313,0.0732,0.578,133.074,505773,4
245,Deserve It,Big Sean,01KdLUbWrTXdviMq7bDhip,detroit hip hop,2015-02-23,0,0.672,0.711,1,-5.492,0,0.337,0.0793,0.0,0.76,0.518,140.058,261213,4
246,Walk On By,Thundercat,6fkL9CjWmjeV6vfDxTp9OZ,afrofuturism,2017-02-24,57,0.825,0.302,8,-11.651,1,0.282,0.204,0.0,0.0762,0.747,94.956,199137,4
247,Like Real People Do,Hozier,44f2AVSNQ3xVs1EI0S0bjl,irish singer-songwriter,2014-07-20,0,0.569,0.183,7,-14.371,1,0.0298,0.914,0.404,0.106,0.13,70.06,198029,3
248,Aktion Pak,Mavado,4ArlFNMauEnV11wR9PkW7r,dancehall,2012-06-05,12,0.563,0.758,4,-6.928,0,0.407,0.0319,0.0,0.161,0.846,94.309,187837,4
249,Billie Jean,EDEN,2zbq8QdgWACnYdKTu2xIE4,indie poptimism,2016-05-13,51,0.314,0.61,3,-5.394,0,0.154,0.0812,0.0,0.31,0.455,89.878,236069,4
250,Try and Love Again - 2013 Remaster,Eagles,3ULgE72PnMaeV6lzA0G6Jv,album rock,1976-12-08,49,0.466,0.786,2,-6.81,1,0.0344,0.13,0.14,0.817,0.716,154.341,311069,4
251,With A Little Help From My Friends,Joe Cocker,4pU7ed71DOZozQrBQzqkdw,album rock,1969-04-23,0,0.339,0.426,2,-11.303,1,0.0543,0.317,0.00082,0.103,0.285,72.445,314200,3
252,Deer In The Headlights,Owl City,2MX7KX78uxMwkeeDyk6CR1,indietronica,2011-01-01,42,0.574,0.981,2,-3.573,1,0.0485,0.0287,0.000468,0.0697,0.95,140.039,180627,4
253,Hold On,Judah & the Lion,3npM3F7hhAez8o1AwhhF0X,banjo,2014-09-09,34,0.385,0.735,2,-8.908,1,0.0333,7.68e-05,0.000222,0.189,0.424,147.709,227880,4
